timestamp,bytes
3146,22
4002,191
4030,191
4133,27
4377,20664
4445,635
5131,68
5520,9535
5841,332
5857,3149
5898,10833
5935,11115
5945,42
6133,27
6678,264
6923,8059
6937,1676
7079,7848
7091,1426
7142,27
7152,51
7174,1099
7185,1099
7206,51
7223,1099
7233,42
7255,1099
7265,42
7670,10157
7692,2204
7706,42
8150,27
8718,1902
8737,2260
8752,42
8774,1100
8790,42
8832,1100
8842,42
8897,1100
8908,42
8929,1100
8940,42
8981,1097
8992,42
9026,1099
9037,42
9079,1099
9089,42
9137,1099
9148,68
9179,1099
9190,42
9231,1099
9242,42
9318,1099
9329,1108
9340,42
9393,1099
9404,42
9491,1961
9501,42
10048,12718
10065,6936
10077,4248
10087,1109
10122,51
10133,27
10432,13939
11126,29
11504,21456
11515,1384
11549,3274
11572,1790
11592,42
11687,921
11699,6777
11761,42
11771,42
11894,1186
11940,4056
11954,12513
11987,1999
12004,12960
12017,3243
12034,1809
12047,51
12129,29
12174,23011
12191,42
12296,6844
12306,877
12350,6148
12376,5560
12387,895
12407,51
12492,10741
12668,27205
12682,290
12703,1633
12730,1547
12768,10445
12779,2096
12790,51
12873,4662
13140,29
13321,42
13420,17602
13522,4258
13539,4449
13549,981
13560,51
13592,1193
13647,2178
13665,42
13676,3432
13741,42
13807,9289
13819,472
13830,166
13851,2308
13866,3295
13888,3437
13909,42
13920,1092
13931,2955
13972,351
13983,881
14004,42
14014,674
14026,614
14037,51
14115,2292
14125,29
14136,42
14373,30451
14407,42
14418,3859
14450,5441
14461,42
14522,29994
14564,2909
14597,51
14637,4417
14658,42
14722,9323
14743,42
14815,3161
14836,42
14940,10314
14951,5374
14962,51
15082,28535
15118,28837
15141,51
15152,29
15439,472
15450,476
15461,479
15552,68988
15565,3859
15617,28530
15629,521
15645,9481
15659,42
15678,9721
15700,31896
15712,42
15738,25321
15771,22646
15801,25324
15823,42
15833,42
15847,16483
15857,42
15974,2267
15999,42
16022,1742
16110,5357
16121,42
16131,42
16152,29
16197,26595
16208,83
16347,3277
16357,42
16575,74180
16587,6371
16662,73948
16678,60
16772,3277
16815,60072
16826,42
16894,5528
16906,3400
16917,3286
16927,42
16989,4338
17000,42
17073,3277
17083,42
17124,29
17156,4360
17166,42
17239,3277
17249,42
17399,39469
17411,3286
17442,60269
17453,3295
17478,385
17489,61051
17501,5954
17511,42
17553,3277
17564,42
17668,7066
17678,42
17709,3277
17720,42
17918,121126
17957,4667
17968,117335
17980,9064
17990,42
18134,3252
18144,42
18278,9358
18288,42
18335,25403
18345,42
18366,290
18406,13146
18416,331
18455,25403
18468,42
18502,5440
18513,42
18533,290
18555,4003
18565,42
18698,4738
18708,42
18719,2292
18729,42
18750,4082
18764,3676
18774,42
18836,3667
18847,42
18867,477
18878,3561
18889,42
18900,4169
18910,331
18921,3923
18934,3643
18954,4870
18964,42
18975,3634
18986,1654
18998,6511
19008,290
19051,822
19096,17412
19106,51
19120,24864
19139,42
19160,29
19172,2292
19199,42
19331,2292
19342,1422
19444,587
19456,568
19479,42
19512,58436
19676,58410
19693,15106
19706,1193
19717,1467
19977,42
19989,42
20013,290
20163,56155
20208,42
20268,52874
20385,42
20396,2397
20407,3341
20418,1551
20437,23119
20458,1514
20469,2787
20483,17207
20518,23505
20532,42
20543,1184
20555,42
20583,5139
20638,51076
20677,22030
20691,15187
20712,1636
20727,30992
20737,2800
20758,1751
20779,42
20934,19362
20945,878
20979,21851
20990,3398
21005,63
21072,21296
21082,1177
21103,25403
21114,983
21141,4372
21152,1579
21162,42
21173,3247
21184,42
21216,1015
21256,42
21291,7137
21302,42
21336,2131
21346,42
21398,1092
21409,2937
21442,42
21455,42
21601,19845
21626,20400
21637,878
21658,4308
21673,25403
21683,51
21740,6565
21754,3230
21764,42
21836,1633
21849,6445
21859,42
21910,3859
21920,42
21981,3317
22005,42
22134,22528
22152,21784
22179,1498
22203,22399
22223,1796
22254,47384
22265,894
22276,42
22355,6271
22365,42
22397,3859
22408,42
22418,1631
22432,5113
22443,6735
22453,42
22901,24861
22912,875
22963,67963
22976,26070
22988,5776
22999,216
23018,25403
23029,332
23072,5623
23083,1603
23094,4819
23104,42
23125,29
23177,6619
23187,42
23288,20121
23299,42
23394,3859
23404,42
23417,4714
23427,42
23438,6052
23449,42
23460,5405
23470,332
23885,887
23896,3868
23906,42
23917,291
23964,27320
23976,15561
23986,42
24131,29
24212,291
24264,2854
24274,42
24397,3859
24408,42
24429,2854
24440,42
24586,3144
24596,42
24672,291
24909,4298
24921,42
24973,677
24983,42
25126,29
25312,1556
25322,42
25415,3859
25609,27326
25620,1763
25630,42
25651,32829
25670,51
25685,20450
25695,42
25730,2934
25741,553
25751,42
25780,23575
25790,42
25925,4297
25938,42
25983,1698
25994,42
26088,1555
26099,42
26129,29
26227,1555
26238,42
26258,1867
26270,16684
26281,42
26328,22713
26338,42
26409,3859
