timestamp,task,len
7551,Cleanup,0
7641,Clipboard event,0
7641,Calculate main window shift,24
7641,Extract data,1
7641,Collect Garbage,0
7641,Send pictures,5
7641,Cleanup,0
8711,Clipboard event,0
8711,Calculate main window shift,0
8711,Extract data,2
8711,Collect Garbage,0
8711,Send pictures,9
8711,Cleanup,0
8732,Clipboard event,0
8732,Calculate main window shift,1
8732,Extract data,3
8732,Collect Garbage,0
8732,Send pictures,5
8732,Cleanup,0
9549,Clipboard event,1
9549,Calculate main window shift,281
9549,Extract data,1
9549,Collect Garbage,0
9549,Send pictures,0
9549,Cleanup,0
9927,Clipboard event,0
9927,Calculate main window shift,25
9927,Extract data,0
9927,Collect Garbage,0
9927,Send pictures,0
9927,Cleanup,0
10028,Clipboard event,0
10028,Calculate main window shift,16
10028,Extract data,1
10028,Collect Garbage,0
10028,Send pictures,3
10028,Cleanup,1
10323,Clipboard event,0
10323,Calculate main window shift,103
10323,Extract data,1
10323,Collect Garbage,0
10323,Send pictures,5
10323,Cleanup,0
10451,Clipboard event,0
10451,Calculate main window shift,67
10451,Extract data,1
10451,Collect Garbage,0
10451,Send pictures,0
10451,Cleanup,0
10965,Clipboard event,0
10965,Calculate main window shift,33
10965,Extract data,0
10965,Collect Garbage,0
10965,Send pictures,0
10965,Cleanup,0
11421,Clipboard event,0
11421,Calculate main window shift,74
11421,Extract data,2
11421,Collect Garbage,0
11421,Send pictures,7
11421,Cleanup,0
12153,Clipboard event,0
12153,Calculate main window shift,13
12153,Extract data,2
12153,Collect Garbage,0
12153,Send pictures,6
12153,Cleanup,0
12287,Clipboard event,0
12287,Calculate main window shift,6
12287,Extract data,1
12287,Collect Garbage,0
12287,Send pictures,2
12287,Cleanup,0
12360,Clipboard event,0
12360,Calculate main window shift,14
12360,Extract data,0
12360,Collect Garbage,0
12360,Send pictures,2
12360,Cleanup,0
12448,Clipboard event,3
12448,Calculate main window shift,0
12448,Extract data,6
12448,Collect Garbage,0
12448,Send pictures,0
12448,Cleanup,0
12545,Clipboard event,0
12545,Calculate main window shift,0
12545,Extract data,0
12545,Collect Garbage,0
12545,Send pictures,0
12545,Cleanup,0
12613,Clipboard event,0
12613,Calculate main window shift,46
12613,Extract data,2
12613,Collect Garbage,0
12613,Send pictures,7
12613,Cleanup,0
12713,Clipboard event,0
12713,Calculate main window shift,16
12713,Extract data,0
12713,Collect Garbage,0
12713,Send pictures,1
12713,Cleanup,0
12750,Clipboard event,0
12750,Calculate main window shift,1
12750,Extract data,1
12750,Collect Garbage,0
12750,Send pictures,16
12750,Cleanup,1
12853,Clipboard event,0
12853,Calculate main window shift,12
12853,Extract data,7
12853,Collect Garbage,0
12853,Send pictures,1
12853,Cleanup,0
13402,Clipboard event,0
13402,Calculate main window shift,12
13402,Extract data,1
13402,Collect Garbage,0
13402,Send pictures,4
13402,Cleanup,0
13430,Clipboard event,0
13430,Calculate main window shift,90
13430,Extract data,1
13430,Collect Garbage,0
13430,Send pictures,1
13430,Cleanup,0
13782,Clipboard event,0
13782,Calculate main window shift,17
13782,Extract data,7
13782,Collect Garbage,0
13782,Send pictures,2
13782,Cleanup,1
13963,Clipboard event,0
13963,Calculate main window shift,1
13963,Extract data,8
13963,Collect Garbage,0
13963,Send pictures,0
13963,Cleanup,0
14313,Clipboard event,0
14313,Calculate main window shift,11
14313,Extract data,2
14313,Collect Garbage,0
14313,Send pictures,47
14313,Cleanup,1
14439,Clipboard event,0
14439,Calculate main window shift,10
14439,Extract data,0
14439,Collect Garbage,0
14439,Send pictures,2
14439,Cleanup,0
14508,Clipboard event,0
14508,Calculate main window shift,8
14508,Extract data,2
14508,Collect Garbage,0
14508,Send pictures,4
14508,Cleanup,0
14617,Clipboard event,0
14617,Calculate main window shift,9
14617,Extract data,0
14617,Collect Garbage,0
14617,Send pictures,0
14617,Cleanup,0
14679,Clipboard event,0
14679,Calculate main window shift,2
14679,Extract data,7
14679,Collect Garbage,0
14679,Send pictures,0
14679,Cleanup,0
14709,Clipboard event,0
14709,Calculate main window shift,11
14709,Extract data,0
14709,Collect Garbage,0
14709,Send pictures,2
14709,Cleanup,0
14826,Clipboard event,0
14826,Calculate main window shift,10
14826,Extract data,0
14826,Collect Garbage,0
14826,Send pictures,0
14826,Cleanup,0
15015,Clipboard event,0
15015,Calculate main window shift,56
15015,Extract data,2
15015,Collect Garbage,0
15015,Send pictures,9
15015,Cleanup,0
15092,Clipboard event,0
15092,Calculate main window shift,2
15092,Extract data,12
15092,Collect Garbage,0
15092,Send pictures,12
15092,Cleanup,0
15517,Clipboard event,0
15517,Calculate main window shift,32
15517,Extract data,0
15517,Collect Garbage,0
15517,Send pictures,3
15517,Cleanup,0
15585,Clipboard event,0
15585,Calculate main window shift,27
15585,Extract data,1
15585,Collect Garbage,0
15585,Send pictures,5
15585,Cleanup,0
15669,Clipboard event,0
15669,Calculate main window shift,8
15669,Extract data,0
15669,Collect Garbage,0
15669,Send pictures,1
15669,Cleanup,0
15688,Clipboard event,0
15688,Calculate main window shift,6
15688,Extract data,2
15688,Collect Garbage,0
15688,Send pictures,4
15688,Cleanup,0
15722,Clipboard event,0
15722,Calculate main window shift,12
15722,Extract data,0
15722,Collect Garbage,0
15722,Send pictures,3
15722,Cleanup,0
15748,Clipboard event,0
15748,Calculate main window shift,20
15748,Extract data,1
15748,Collect Garbage,0
15748,Send pictures,2
15748,Cleanup,0
15788,Clipboard event,0
15788,Calculate main window shift,4
15788,Extract data,5
15788,Collect Garbage,1
15788,Send pictures,4
15788,Cleanup,0
16071,Clipboard event,0
16071,Calculate main window shift,11
16071,Extract data,0
16071,Collect Garbage,0
16071,Send pictures,0
16071,Cleanup,0
16183,Clipboard event,0
16183,Calculate main window shift,10
16183,Extract data,1
16183,Collect Garbage,0
16183,Send pictures,3
16183,Cleanup,0
16463,Clipboard event,0
16463,Calculate main window shift,111
16463,Extract data,0
16463,Collect Garbage,0
16463,Send pictures,1
16463,Cleanup,0
16597,Clipboard event,0
16597,Calculate main window shift,64
16597,Extract data,0
